Layer 4 Structure — BTCEUR 15m
============================================================
Candles: 200  Swing highs: 25  Swing lows: 23
Median range: 150.75  Tolerance (50%): 75.38

── HIGH SEQUENCE ──
idx   wick         delta        label         
---------------------------------------------
6     53717.30     +0.00       START_HIGH    
30    53928.40     +211.10     HH1           
33    53893.10     -35.30      EH1           
39    54334.10     +441.00     HH2           
43    54372.90     +38.80      EH2           
50    54510.80     +137.90     HH3           
59    54610.20     +99.40      HH4           
63    54562.20     -48.00      EH3           
70    54785.50     +223.30     HH5           
79    54783.80     -1.70       EH4           
89    54548.50     -235.30     LH1           
96    55186.10     +637.60     HH6           
102   55123.30     -62.80      EH5           
108   54883.20     -240.10     LH2           
113   54950.00     +66.80      EH6           
120   55063.10     +113.10     HH7           
128   55061.00     -2.10       EH7           
132   54967.60     -93.40      LH3           
138   55103.40     +135.80     HH8           
153   54862.70     -240.70     LH4           
158   55148.10     +285.40     HH9           
164   55150.00     +1.90       EH8           
181   55594.20     +444.20     HH10          
188   55345.80     -248.40     LH5           
192   55211.70     -134.10     LH6           

Highs: {'START_HIGH': 1, 'HH': 10, 'EH': 8, 'LH': 6}

── LOW SEQUENCE ──
idx   wick         delta        label         
---------------------------------------------
3     53303.10     +0.00       START_LOW     
17    52964.80     -338.30     LL1           
21    53030.10     +65.30      EL1           
34    53602.50     +572.40     HL1           
48    54147.30     +544.80     HL2           
54    54167.80     +20.50      EL2           
61    54372.90     +205.10     HL3           
65    54438.80     +65.90      EL3           
74    54200.00     -238.80     LL2           
78    54300.00     +100.00     HL4           
84    54263.00     -37.00      EL4           
87    54300.00     +37.00      EL5           
93    54143.10     -156.90     LL3           
100   54770.00     +626.90     HL5           
107   54608.00     -162.00     LL4           
116   54658.50     +50.50      EL6           
126   54700.00     +41.50      EL7           
133   54717.00     +17.00      EL8           
146   54282.10     -434.90     LL5           
161   54902.50     +620.40     HL6           
174   54451.40     -451.10     LL6           
184   54892.90     +441.50     HL7           
189   55051.10     +158.20     HL8           

Lows: {'START_LOW': 1, 'LL': 6, 'EL': 8, 'HL': 8}
